City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isafjordur,66.0755,-23.124,282.16,89,100,10.46,IS,1731360404
1,ushuaia,-54.8,-68.3,280.52,84,100,1.85,AR,1731360405
2,naze,28.3667,129.4833,295.31,85,60,4.16,JP,1731360406
3,kodiak,57.79,-152.4072,278.88,45,0,4.12,US,1731360407
4,hermanus,-34.4187,19.2345,290.82,79,3,4.3,ZA,1731360409
5,ribeira grande,38.5167,-28.7,294.37,94,75,10.29,PT,1731360410
6,jamestown,42.097,-79.2353,284.83,75,100,7.2,US,1731360194
7,gustavia,17.8962,-62.8498,300.6,87,100,3.58,BL,1731360401
8,tsetserleg,47.475,101.4542,270.27,46,99,2.65,MN,1731360413
9,grytviken,-54.2811,-36.5092,273.17,89,93,4.01,GS,1731360414
10,usogorsk,63.4106,48.6872,272.78,97,100,4.57,RU,1731360415
11,berezovyy,51.6667,135.7,264.96,69,100,1.14,RU,1731360417
12,niquelandia,-14.4739,-48.4597,295.83,89,59,0.38,BR,1731360418
13,klyuchi,52.2667,79.1667,266.07,81,94,6.95,RU,1731360419
14,stephenville,32.2207,-98.2023,298.29,32,0,1.54,US,1731360420
15,port alfred,-33.5906,26.891,289.92,96,1,5.34,ZA,1731360421
16,sengiley,53.9622,48.7944,273.33,91,100,1.88,RU,1731360422
17,albany,42.6001,-73.9662,287.39,67,10,4.82,US,1731360424
18,luganville,-15.5333,167.1667,299.46,77,100,4.41,VU,1731360425
19,badger,64.8,-147.5333,257.29,81,0,1.54,US,1731360426
20,port-aux-francais,-49.35,70.2167,277.87,91,100,6.18,TF,1731360427
21,sitia,35.2,26.0986,288.42,70,83,1.58,GR,1731360428
22,vilyuysk,63.7553,121.6247,257.24,97,100,1.05,RU,1731360429
23,caleta de carquin,-11.0925,-77.6267,293.69,76,31,5.12,PE,1731360432
24,ilulissat,69.2167,-51.1,267.16,73,100,0.0,GL,1731360433
25,iqaluit,63.7506,-68.5145,265.0,72,100,1.54,CA,1731360434
26,port elizabeth,-33.918,25.5701,289.99,95,5,0.89,ZA,1731360435
27,bikenibeu village,1.3673,173.1241,303.13,74,20,3.09,KI,1731360436
28,nizhnesortymskiy,62.4397,71.7603,253.41,93,31,5.87,RU,1731360437
29,stanley,54.868,-1.6985,279.0,88,0,1.54,GB,1731360440
30,kupang,-10.1667,123.5833,299.47,73,20,2.57,ID,1731360441
31,pandan,14.0453,124.1694,298.95,88,84,1.9,PH,1731360442
32,okhotsk,59.3833,143.3,259.68,68,100,10.01,RU,1731360443
33,puerto natales,-51.7236,-72.4875,285.4,50,40,15.43,CL,1731360444
34,tolanaro,-25.0319,46.9987,297.79,85,96,2.7,MG,1731360446
35,tura,25.5198,90.2201,291.37,91,0,1.59,IN,1731360447
36,ca mau,9.1769,105.15,297.64,91,100,1.12,VN,1731360448
37,ciudad lazaro cardenas,17.9583,-102.2,302.3,70,17,4.94,MX,1731360449
38,aketi,2.7388,23.7833,295.84,91,99,1.06,CD,1731360450
39,bethel,41.3712,-73.414,291.45,52,0,3.6,US,1731360451
40,adamstown,-25.066,-130.1015,294.39,66,98,1.34,PN,1731360453
41,blackwater,-23.5833,148.8833,297.98,100,88,5.38,AU,1731360454
42,udachny,66.4167,112.4,248.24,100,100,1.8,RU,1731360455
43,atafu village,-8.5421,-172.5159,301.38,75,8,7.81,TK,1731360374
44,yellowknife,62.456,-114.3525,266.16,96,100,2.24,CA,1731360457
45,port mathurin,-19.6833,63.4167,297.01,82,76,8.97,MU,1731360458
46,parkersburg,39.2667,-81.5615,291.69,59,20,5.14,US,1731359892
47,vilyuchinsk,52.9306,158.4028,272.3,74,23,12.77,RU,1731360461
48,ballina,-28.8667,153.5667,294.15,96,100,2.46,AU,1731360462
49,constantia,44.1833,28.65,277.53,78,100,6.3,RO,1731360411
50,san patricio,28.017,-97.5169,304.12,44,53,1.92,US,1731360464
51,hasaki,35.7333,140.8333,291.2,62,0,2.91,JP,1731360465
52,alofi,-19.0595,-169.9187,296.09,94,75,5.14,NU,1731360466
53,blackmans bay,-43.0167,147.3167,285.11,80,55,1.34,AU,1731360468
54,colby,39.3958,-101.0524,290.93,50,0,7.2,US,1731360469
55,hawaiian paradise park,19.5933,-154.9731,300.87,88,75,2.57,US,1731360470
56,dabhol,17.6,73.1667,296.36,62,97,2.67,IN,1731360471
57,yuzhno-kurilsk,44.0306,145.8556,276.05,66,46,0.86,RU,1731360472
58,talnakh,69.4865,88.3972,245.14,91,54,0.76,RU,1731360473
59,thompson,55.7435,-97.8558,271.46,64,77,1.8,CA,1731360474
60,horsham,51.064,-0.3272,279.82,77,5,3.03,GB,1731360331
61,edinburgh of the seven seas,-37.0676,-12.3116,286.3,79,100,6.25,SH,1731360477
62,qaqortoq,60.7167,-46.0333,272.88,98,100,2.96,GL,1731360478
63,colonia,50.9333,6.95,282.66,90,75,4.12,DE,1731360479
64,kapuskasing,49.4169,-82.4331,272.44,89,100,6.07,CA,1731360182
65,shaowu,27.3409,117.4831,290.55,95,15,0.41,CN,1731360481
66,talcahuano,-36.7167,-73.1167,290.97,55,0,8.23,CL,1731360254
67,college,64.8569,-147.8028,256.52,81,75,1.54,US,1731360484
68,brigantine,39.4101,-74.3646,294.83,76,5,5.96,US,1731360485
69,anadyr,64.75,177.4833,258.43,77,0,5.81,RU,1731360486
70,ancud,-41.8697,-73.8203,284.23,85,100,5.42,CL,1731360487
71,coos bay,43.3665,-124.2179,287.17,72,20,5.66,US,1731360488
72,blenheim,-41.516,173.9528,286.39,63,73,1.49,NZ,1731360490
73,reggane,26.7158,0.1714,296.25,29,0,4.58,DZ,1731360491
74,xilin hot,43.9667,116.0333,273.13,63,0,2.87,CN,1731360492
75,chonchi,-42.6128,-73.8092,283.57,87,100,2.39,CL,1731360493
76,letterkenny,54.95,-7.7333,279.01,93,66,0.41,IE,1731360274
77,whitehorse,60.7161,-135.0538,271.49,92,100,0.77,CA,1731360495
78,punta arenas,-53.15,-70.9167,285.21,58,75,12.35,CL,1731360405
79,conception bay south,47.4999,-52.9981,280.23,86,100,3.35,CA,1731360498
80,cadale,2.7603,46.3222,299.57,81,94,6.27,SO,1731360499
81,changyon,38.2508,125.0961,282.92,60,32,1.58,KP,1731360500
82,pangody,65.85,74.4859,251.34,96,98,5.48,RU,1731360501
83,waitangi,-43.9535,-176.5597,285.27,84,75,2.24,NZ,1731360502
84,kirensk,57.7853,108.1119,271.02,86,100,4.18,RU,1731360503
85,saudarkrokur,65.7461,-19.6394,285.15,83,100,12.28,IS,1731360506
86,puerto ayora,-0.7393,-90.3518,296.79,81,76,4.02,EC,1731360507
87,utrik,11.2278,169.8474,301.7,77,20,7.28,MH,1731360508
88,codrington,-38.2667,141.9667,286.28,81,97,4.36,AU,1731360509
89,kargasok,59.0556,80.8572,262.65,89,100,6.11,RU,1731360510
90,poronaysk,49.2167,143.1167,272.58,60,100,2.73,RU,1731360511
91,saint-philippe,-21.3585,55.7679,296.69,86,40,5.25,RE,1731360513
92,tsengel,49.4783,100.8894,268.27,64,100,1.64,MN,1731360514
93,avarua,-21.2078,-159.775,297.18,64,75,6.69,CK,1731360515
94,mana,5.6592,-53.7767,299.43,86,100,5.78,GF,1731360516
95,ikom,5.9667,8.7063,298.19,67,9,0.74,NG,1731360517
96,cooma,-36.2333,149.1333,286.94,73,38,1.56,AU,1731360518
97,zaterechnyy,44.7931,45.2097,279.67,73,100,3.23,RU,1731360520
98,whitestown,39.9973,-86.3458,290.22,59,0,8.49,US,1731360449
99,afaahiti,-17.75,-149.2833,296.48,85,100,6.5,PF,1731360522
100,bilibino,68.0546,166.4372,248.1,99,53,1.95,RU,1731360523
101,pisco,-13.7,-76.2167,295.18,68,0,8.75,PE,1731360524
102,tiksi,71.6872,128.8694,255.98,95,100,2.25,RU,1731360525
103,maibong,25.3,93.1667,290.65,95,31,0.3,IN,1731360526
104,ulanhot,46.0833,122.0833,272.0,48,0,2.76,CN,1731360528
105,guapiles,10.2159,-83.7866,298.38,85,100,0.54,CR,1731360529
106,nemuro,43.3236,145.575,278.37,70,51,1.55,JP,1731360530
107,motueka,-41.1333,173.0167,288.17,62,35,1.35,NZ,1731360531
108,damara,4.9608,18.7035,295.56,90,6,1.03,CF,1731360532
109,fort mcmurray,56.7268,-111.381,276.63,59,100,4.27,CA,1731360324
110,bac lieu,9.285,105.7244,299.09,83,99,3.19,VN,1731360535
111,dawei,14.0833,98.2,296.74,85,62,1.93,MM,1731360537
112,namsos,64.4662,11.4957,276.1,100,75,1.03,NO,1731360538
113,cabo san lucas,22.8909,-109.9124,301.32,44,40,3.6,MX,1731360322
114,fredericksburg,38.3032,-77.4605,298.84,55,0,2.57,US,1731360540
115,quebo,11.3333,-14.9333,298.18,78,70,1.8,GW,1731360541
116,dudinka,69.4058,86.1778,247.84,96,40,4.65,RU,1731360543
117,bentiu,9.2333,29.8333,302.37,39,88,1.41,SS,1731360544
118,port lincoln,-34.7333,135.8667,289.1,84,6,1.86,AU,1731360545
119,keta,5.9179,0.9879,301.04,78,2,5.04,GH,1731360546
120,papatowai,-46.5619,169.4708,285.7,57,5,3.79,NZ,1731360547
121,soma,39.1855,27.6094,282.06,92,34,2.57,TR,1731360548
122,flying fish cove,-10.4217,105.6791,298.97,88,100,4.12,CX,1731360549
123,nagqu,31.5,92.0,268.09,48,86,0.98,CN,1731360551
124,petropavlovsk-kamchatsky,53.0452,158.6483,271.48,69,75,4.0,RU,1731360552
125,happy valley-goose bay,53.3168,-60.3315,272.45,74,100,0.14,CA,1731360487
126,la'ie,21.6477,-157.9253,299.85,83,23,3.13,US,1731360554
127,jumla,29.2747,82.1838,279.48,87,52,1.49,NP,1731360555
128,vallenar,-28.5708,-70.7581,301.42,26,0,3.36,CL,1731360556
129,margaret river,-33.95,115.0667,289.17,69,98,5.05,AU,1731360558
130,tawau,4.2498,117.8871,298.11,94,86,1.34,MY,1731360559
131,saipan,15.1355,145.701,299.54,93,40,2.06,MP,1731360560
132,wailua homesteads,22.0669,-159.378,297.11,92,100,5.14,US,1731360561
133,longyearbyen,78.2186,15.6401,274.06,93,75,1.03,SJ,1731360562
134,mazagao,-0.115,-51.2894,303.61,55,100,3.19,BR,1731360563
135,invercargill,-46.4,168.35,287.05,65,18,1.79,NZ,1731360564
136,nova sintra,14.8667,-24.7167,300.34,68,0,5.93,CV,1731360566
137,terrace,54.5163,-128.6035,277.47,95,100,0.43,CA,1731360414
138,guerrero negro,27.9769,-114.0611,294.0,47,100,6.01,MX,1731360568
139,gadzhiyevo,69.2551,33.3362,275.54,85,100,7.1,RU,1731360569
140,san antonio de pale,-1.4014,5.6325,299.29,83,43,4.74,GQ,1731360570
141,kuqa,41.7278,82.9364,280.38,43,0,1.4,CN,1731360571
142,haiku-pauwela,20.9219,-156.3051,301.6,72,20,8.75,US,1731360573
143,qamdo,31.1667,97.2333,271.8,60,100,2.12,CN,1731360574
144,ust-nera,64.5667,143.2,243.04,99,87,0.73,RU,1731360575
145,ustka,54.5805,16.8619,277.4,71,100,1.84,PL,1731360576
146,al hayy,32.1735,46.0433,297.79,47,100,4.82,IQ,1731360577
147,khanty-mansiysk,61.0042,69.0019,258.21,78,0,3.0,RU,1731360578
148,bredasdorp,-34.5322,20.0403,288.09,84,2,2.36,ZA,1731360580
149,kamenica,50.8333,12.9167,279.92,93,100,0.61,DE,1731360581
150,salinopolis,-0.6136,-47.3561,300.11,78,100,6.35,BR,1731360582
151,lebu,-37.6167,-73.65,286.46,63,79,7.04,CL,1731360584
152,takoradi,4.8845,-1.7554,299.79,83,0,4.3,GH,1731360585
153,mount pearl,47.5166,-52.7813,279.9,86,99,0.89,CA,1731360587
154,geraldton,-28.7667,114.6,287.38,94,0,4.63,AU,1731360481
155,machico,32.7,-16.7667,294.66,80,40,6.17,PT,1731360589
156,cobija,-11.0267,-68.7692,302.51,61,99,1.65,BO,1731360590
157,howrah,22.5892,88.3103,297.15,83,20,2.57,IN,1731360591
158,glendive,47.1053,-104.7125,282.94,57,0,6.69,US,1731360592
159,belyy yar,53.6039,91.3903,275.09,69,0,6.0,RU,1731360594
160,hithadhoo,-0.6,73.0833,301.7,71,100,7.97,MV,1731360595
161,tanguieta,10.6212,1.2665,298.48,31,8,1.63,BJ,1731360598
162,solleftea,63.1667,17.2667,273.07,91,79,1.78,SE,1731360600
163,west island,-12.1568,96.8225,299.14,89,100,7.2,CC,1731360601
164,toyooka,35.5333,134.8333,285.17,94,0,1.73,JP,1731360602
165,changli,39.7042,119.1506,281.7,77,0,1.85,CN,1731360603
166,rongelap,11.1635,166.8941,301.57,78,32,7.07,MH,1731360604
167,mount gambier,-37.8333,140.7667,286.07,84,70,1.87,AU,1731360606
168,luebo,-5.35,21.4167,294.76,84,10,0.38,CD,1731360607
169,moose jaw,50.4001,-105.5344,280.02,46,97,8.44,CA,1731360342
170,masterton,-40.9597,175.6575,289.3,48,3,2.53,NZ,1731360609
171,betafo,-19.8333,46.85,294.33,69,100,0.74,MG,1731360613
172,iskateley,67.6803,53.1512,265.89,98,96,0.67,RU,1731360614
173,saint-joseph,-21.3667,55.6167,297.36,83,27,4.74,RE,1731360615
174,kuraymah,18.55,31.85,296.5,25,0,6.99,SD,1731360616
175,enewetak,11.3474,162.3373,301.58,79,71,8.36,MH,1731360617
176,saint-denis,48.9167,2.3333,282.42,87,0,3.6,FR,1731360618
177,kourou,5.1552,-52.6478,298.09,89,99,4.73,GF,1731360620
178,kas,36.2018,29.6377,290.76,63,95,2.68,TR,1731360621
179,betio village,1.358,172.9211,303.17,66,17,4.95,KI,1731360622
180,fuglafjordur,62.244,-6.814,282.92,88,95,5.13,FO,1731360623
181,revda,56.801,59.9303,263.96,94,100,4.0,RU,1731360624
182,aleg,17.0481,-13.9209,302.7,10,100,4.44,MR,1731360626
183,arno,60.1167,18.6333,277.33,88,84,3.05,SE,1731360627
184,gonzalez,30.5816,-87.2914,295.4,98,100,3.6,US,1731360628
185,sur,22.5667,59.5289,299.86,54,4,2.32,OM,1731360629
186,queenstown,-31.8976,26.8753,285.05,91,79,1.94,ZA,1731360632
187,shortandy,51.7006,70.9994,257.25,98,68,3.76,KZ,1731360633
188,mochudi,-24.4167,26.15,292.28,88,100,3.85,BW,1731360634
189,makoua,0.0069,15.6333,296.05,85,22,0.87,CG,1731360635
190,ola,59.5833,151.2833,260.23,74,100,5.76,RU,1731360636
191,coquimbo,-29.9533,-71.3436,292.0,56,0,5.14,CL,1731360359
192,caxito,-8.5785,13.6643,298.23,83,57,0.84,AO,1731360638
193,wajir,1.7471,40.0573,300.27,66,59,5.5,KE,1731360640
194,hopelchen,19.7667,-89.85,300.51,76,99,0.93,MX,1731360641
195,griffith,41.5284,-87.4237,287.12,50,40,4.63,US,1731360642
196,correntina,-13.3433,-44.6367,295.31,89,48,1.7,BR,1731360643
197,kiiminki,65.1314,25.7974,273.58,100,100,2.01,FI,1731360644
198,tayga,56.06,85.6197,261.6,93,100,4.19,RU,1731360645
199,kratie,12.4881,106.0188,295.57,94,81,0.44,KH,1731360647
200,vila franca do campo,37.7167,-25.4333,293.38,99,97,7.25,PT,1731360648
201,huarmey,-10.0681,-78.1522,293.59,77,58,4.27,PE,1731360649
202,puerto baquerizo moreno,-0.9,-89.6,298.7,61,20,5.66,EC,1731360650
203,andergrove,-21.0833,149.1833,299.81,61,88,3.82,AU,1731360651
204,lhasa,29.65,91.1,274.73,42,0,1.7,CN,1731360504
205,kaspiyskiy,45.3929,47.3707,279.28,76,100,3.41,RU,1731360653
206,tazovsky,67.4667,78.7,248.97,96,95,5.58,RU,1731360655
207,ponta delgada,37.7333,-25.6667,293.55,94,75,8.23,PT,1731360656
208,labrador city,52.9463,-66.9114,270.47,82,100,1.54,CA,1731360657
209,acajutla,13.5928,-89.8275,300.84,77,14,1.84,SV,1731360658
210,entebbe,0.0644,32.4469,293.33,94,20,4.12,UG,1731360659
211,urangan,-25.3,152.9,297.86,76,100,5.87,AU,1731360660
212,sunnyside,46.3237,-120.0087,286.36,51,100,7.2,US,1731360662
213,isangel,-19.55,169.2667,299.21,89,75,2.57,VU,1731360663
214,olonkinbyen,70.9221,-8.7187,273.9,87,99,8.79,SJ,1731360664
215,pontian kechil,1.4866,103.3896,298.22,88,100,1.06,MY,1731360666
216,juneau,58.3019,-134.4197,278.15,95,75,2.06,US,1731360392
217,hede,33.7681,120.2517,286.09,80,0,1.07,CN,1731360669
218,vanimo,-2.6741,141.3028,300.18,82,93,2.24,PG,1731360670
219,namibe,-15.1961,12.1522,294.37,73,2,2.58,AO,1731360671
220,ust'-ilimsk,58.0006,102.6619,270.88,86,100,4.23,RU,1731360672
221,ascension,30.2169,-90.9001,300.98,75,100,5.66,US,1731360673
222,argo,37.6333,22.7333,286.23,73,91,1.56,GR,1731360674
223,boa vista,2.8197,-60.6733,308.14,41,20,2.06,BR,1731360601
224,undurkhaan,47.3194,110.6556,271.45,48,58,1.47,MN,1731360677
225,paros,37.0833,25.15,288.87,71,7,2.57,GR,1731360471
226,mayma,52.0197,85.9114,268.54,88,100,5.52,RU,1731360679
227,st. john's,47.5649,-52.7093,280.36,84,100,1.34,CA,1731360680
228,turan,16.0678,108.2208,298.14,94,75,4.63,VN,1731360682
229,vorgashor,67.5833,63.95,261.64,96,100,2.56,RU,1731360683
230,cabedelo,-6.9811,-34.8339,300.52,76,91,2.43,BR,1731360684
231,northam,51.0333,-4.2167,284.05,86,27,2.31,GB,1731360685
232,armacao de buzios,-22.7469,-41.8817,297.18,83,0,6.38,BR,1731360687
233,fort st. john,56.2499,-120.8529,272.09,86,100,1.03,CA,1731360689
234,mouila,-1.8685,11.0559,297.42,92,93,0.74,GA,1731360690
235,sitangkai,4.6628,119.3928,301.37,76,61,1.36,PH,1731360691
236,beau vallon,-20.4189,57.6953,297.28,78,40,5.14,MU,1731360692
237,lazaro cardenas,17.9583,-102.2,301.92,72,20,5.17,MX,1731360683
238,tera,14.0078,0.7531,298.2,15,0,4.44,NE,1731360695
239,hammerfest,70.6634,23.6821,278.4,93,75,1.03,NO,1731360696
240,lumut,4.2323,100.6298,298.16,94,100,0.37,MY,1731360697
241,saynshand,44.8824,110.1163,273.89,47,0,3.46,MN,1731360699
242,fort saskatchewan,53.7168,-113.2187,278.21,67,78,2.68,CA,1731360700
243,crane,31.3974,-102.3501,297.68,21,86,3.52,US,1731360701
244,carnarvon,-24.8667,113.6333,293.22,68,16,9.06,AU,1731360702
245,esmeraldas,-19.7625,-44.3139,294.68,78,39,0.31,BR,1731360703
246,springbok,-29.6643,17.8865,288.2,63,2,1.81,ZA,1731360705
247,aldinga beach,-35.2793,138.4604,294.06,74,5,2.33,AU,1731360706
248,acarau,-2.8856,-40.12,299.32,72,100,7.53,BR,1731360707
249,mozarlandia,-14.7447,-50.5706,300.17,74,99,2.26,BR,1731360708
250,gualeguay,-33.1416,-59.3097,293.19,22,0,6.83,AR,1731360709
251,lincoln city,44.9582,-124.0179,286.87,86,33,9.39,US,1731360710
252,lethem,3.3803,-59.7968,303.68,52,75,2.63,GY,1731360711
253,brookings,44.3114,-96.7984,279.51,66,0,3.6,US,1731360626
254,waingapu,-9.6567,120.2641,299.44,82,75,2.8,ID,1731360714
255,nadi,-17.8,177.4167,301.15,57,20,2.06,FJ,1731360715
256,praia da vitoria,38.7333,-27.0667,292.7,89,100,8.89,PT,1731360716
257,sokur,55.2093,83.319,262.15,93,99,6.0,RU,1731360717
258,reguiba,33.5639,6.7033,293.05,51,6,1.12,DZ,1731360718
259,bonthe,7.5264,-12.505,300.02,84,16,1.69,SL,1731360720
260,kencong,-8.2833,113.3667,297.55,86,100,1.2,ID,1731360721
261,haysville,37.5645,-97.3523,294.81,47,0,1.54,US,1731360722
262,san ignacio rio muerto,27.4167,-110.2333,303.08,14,7,6.46,MX,1731360723
263,boende,-0.2167,20.8667,294.75,90,13,0.09,CD,1731360724
264,vila do maio,15.1333,-23.2167,299.65,76,0,5.73,CV,1731360725
265,gorontalo,0.5412,123.0595,297.19,94,75,1.31,ID,1731360726
266,orange walk,17.8333,-88.8333,300.46,90,19,1.05,BZ,1731360728
267,beyneu,45.3167,55.2,278.09,66,88,3.78,KZ,1731360729
268,isahaya,32.8411,130.0431,289.46,88,0,1.49,JP,1731360730
269,bel ombre,-4.6167,55.4167,301.06,78,75,5.14,SC,1731360731
270,vorkuta,67.5,64.0,262.49,96,100,2.52,RU,1731360732
271,guozhen,34.3659,107.359,284.89,76,84,0.76,CN,1731360733
272,east ballina,-28.8667,153.5833,294.19,96,100,2.68,AU,1731360735
273,kingston,17.997,-76.7936,301.57,82,100,0.83,JM,1731360685
274,keflavik,64.0049,-22.5624,283.39,100,100,16.46,IS,1731360737
275,cananea,30.95,-110.3,292.71,15,100,5.16,MX,1731360739
276,conde,-7.2597,-34.9075,299.85,74,0,3.09,BR,1731360711
277,mykhaylivka,47.2724,35.2224,275.38,76,42,3.57,UA,1731360742
